filename,category,description,keywords_matched,priority,unsplash_url
hero-pet-insurance.webp,insurance,Pet with veterinarian or medical care scene,insurance|emergency|veterinary|medical,high,https://images.unsplash.com/photo-1644675272883-0c4d582528d8?q=80&w=2574&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-pet-health-checkup.webp,health,Pet being examined by vet or health focus,health|checkup|vet|medical|care,high,https://images.unsplash.com/photo-1632236542159-809925d85fc0?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-pet-emergency-kit.webp,emergency,Pet first aid kit or emergency supplies,emergency|first aid|kit|safety,medium,https://images.unsplash.com/photo-1661552066736-935e0cad1782?q=80&w=1752&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-dog-food-bowl.webp,food,Dog eating from bowl or food spread,dog food|kibble|nutrition|feeding,high,https://images.unsplash.com/photo-1596854675667-b1716ee49130?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-cat-food-bowl.webp,food,Cat eating from bowl or food display,cat food|kitten food|nutrition,high,https://images.unsplash.com/photo-1609284568429-b73c7ea66d71?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-puppy-food.webp,food,Puppy with food or feeding scene,puppy food|young dog|feeding,medium,https://cdn.pixabay.com/photo/2017/09/02/08/53/golden-retriever-puppy-2706672_1280.jpg
hero-senior-pet-food.webp,food,Senior dog or cat with appropriate food,senior food|older pet|nutrition,medium,https://images.unsplash.com/photo-1672323471046-21e40fab1ccd?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-dog-treats-training.webp,treats,Dog getting treat during training session,training treats|rewards|obedience,high,https://cdn.pixabay.com/photo/2020/04/13/11/15/dog-5037909_1280.jpg
hero-dog-puzzle-toys.webp,toys,Dog playing with puzzle or interactive toy,puzzle toys|mental stimulation|enrichment,high,https://images.unsplash.com/photo-1632236554947-35c9b943a0fd?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-cat-toys-playing.webp,toys,Cat actively playing with toys,cat toys|interactive|feather|playing,high,https://images.unsplash.com/photo-1516750105099-4b8a83e217ee?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-kong-dog-toy.webp,toys,Dog with KONG toy or similar durable toy,kong|durable toys|chew toys,medium,https://images.unsplash.com/photo-1639029187205-8fc7e01b1a97?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-cat-scratching-post.webp,furniture,Cat using scratching post,scratching post|cat furniture|claws,medium,https://images.unsplash.com/photo-1569139370636-f6c530a20548?q=80&w=1742&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-dog-bed-comfort.webp,beds,Dog sleeping on comfortable bed,dog bed|comfort|sleeping|rest,high,https://images.unsplash.com/photo-1653638390484-bc1c263ce9e4?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-memory-foam-dog-bed.webp,beds,Large dog on orthopedic or memory foam bed,memory foam|orthopedic|large dog|senior,medium,https://images.unsplash.com/photo-1581888227599-779811939961?q=80&w=2574&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-cat-bed-cozy.webp,beds,Cat sleeping in cozy bed or perch,cat bed|comfort|sleeping|cozy,medium,https://images.unsplash.com/photo-1541188495357-ad2dc89487f4?q=80&w=1742&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-dog-harness-walk.webp,accessories,Dog wearing harness on walk,harness|leash|walking|control,high,https://images.unsplash.com/photo-1691755810877-9f01c91d35be?q=80&w=2669&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-dog-collar-tags.webp,accessories,Dog wearing collar with ID tags,collar|identification|tags|safety,medium,https://images.unsplash.com/photo-1491930722919-a5fc9ad49a75?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-cat-carrier-travel.webp,travel,Cat in carrier or travel preparation,carrier|travel|vet visits|transport,medium,https://images.unsplash.com/photo-1533413924355-a5797409980e?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-pet-crate-training.webp,training,Dog in crate or crate training scene,crate training|den|house training,high,https://images.unsplash.com/photo-1656110073986-ccf23039e402?q=80&w=2681&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-dog-grooming.webp,grooming,Dog being groomed or brushed,grooming|brushing|hygiene|care,medium,https://images.unsplash.com/photo-1675430426271-d74b542f21e4?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-cat-grooming-brush.webp,grooming,Cat being brushed or self-grooming,cat grooming|brushing|shedding|care,medium,https://images.unsplash.com/photo-1747176779062-4e800093611e?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-pet-dental-care.webp,dental,Pet having teeth brushed or dental chews,dental care|teeth|oral health|chews,high,https://images.unsplash.com/photo-1646483420147-6b940b15436e?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-dog-nail-clipping.webp,grooming,Dog getting nails trimmed,nail clipping|pedicure|grooming|care,low,https://images.unsplash.com/photo-1706901363932-c79f1822c87b?q=80&w=1738&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-cat-litter-box.webp,hygiene,Clean litter box setup or cat using it,litter box|hygiene|bathroom|clean,high,https://images.unsplash.com/photo-1727510160238-3c17eb5e6120?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-clumping-cat-litter.webp,hygiene,Cat litter product or clean litter,clumping litter|odor control|hygiene,medium,https://images.unsplash.com/photo-1727510160238-3c17eb5e6120?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-flea-tick-prevention.webp,health,Pet being treated for fleas/ticks or prevention,flea prevention|tick control|parasites,high,https://cdn.pixabay.com/photo/2016/07/31/19/25/dog-1559746_1280.jpg
hero-joint-supplements.webp,health,Senior pet or supplement bottles,joint supplements|senior care|mobility,medium,https://images.unsplash.com/photo-1642303009474-851f1dd5195f?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-omega-supplements.webp,health,Pet supplements or healthy pet,omega supplements|health|nutrition|vitamins,low,https://cdn.pixabay.com/photo/2020/07/27/02/29/cbd-oil-5441197_960_720.jpg
hero-pet-microchip.webp,safety,Pet being microchipped or ID technology,microchip|identification|lost pet|safety,low,https://images.unsplash.com/photo-1700665537650-1bf37979aae0?q=80&w=1744&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-pet-anxiety-comfort.webp,behavior,Anxious pet or calming products,anxiety|stress|calming|behavioral,medium,https://images.unsplash.com/photo-1727532727212-a810e45fb804?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-dog-agility-training.webp,training,Dog doing agility or exercise,agility|training|exercise|active,low,https://images.unsplash.com/photo-1546815708-410983510897?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-automatic-cat-feeder.webp,feeding,Automatic feeder or scheduled feeding,automatic feeder|scheduled feeding|convenience,low,https://images.pexels.com/photos/17393531/pexels-photo-17393531.jpeg
